,EVENT_SIGNAL,EVENT_READ,EVENT_CLOSE,EVENT_OPEN,EVENT_WRITE,EVENT_SENDTO,EVENT_LSEEK,EVENT_EXIT,EVENT_OTHER,EVENT_FCNTL,EVENT_FORK,EVENT_CREATE_OBJECT,EVENT_MODIFY_PROCESS,EVENT_CHANGE_PRINCIPAL,EVENT_ACCEPT,EVENT_RECVFROM,EVENT_RENAME,EVENT_EXECUTE,EVENT_MMAP,EVENT_UNLINK,EVENT_MODIFY_FILE_ATTRIBUTES,EVENT_LOGIN,EVENT_CONNECT,EVENT_MPROTECT,EVENT_TRUNCATE,EVENT_SENDMSG,EVENT_RECVMSG,EVENT_LINK,EVENT_BIND
d3aa5105-fe53-326b-9a47-e473d5f1b31a,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
e683c5fe-94a1-33d1-8d04-0102c69dcfc2,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7e058cca-e7e4-39e7-ba9f-0d66b9d3bf4a,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9656fcbf-704b-3cc9-bb00-64e8190c33e3,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5caee32b-eb02-3c95-885f-968474d1b53e,0,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0
59f8e768-eee5-3639-a01b-f1b381401e13,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dd9ec4de-e00f-394f-b1a9-7667949b231b,0,1,1,1,0,1,1,0,0,1,1,1,1,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0
7d008e35-0ca9-384a-9a20-913fbc3018b8,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eacc9d88-beb2-3a4d-a218-e90403ce0b88,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0e48f8f9-16dd-393d-9e1c-b2bc5f276c72,0,1,1,1,0,1,1,0,0,1,1,1,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0
1ce1a5fb-2404-359e-9a0a-65b1642ce564,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dc1a5e3f-4b94-3bd8-8e0d-51790f628e00,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1c78a502-e433-3ced-aa44-47f3d5b71f24,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5d7e4bc5-e70d-3ee7-a994-401240de2a17,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71690b3e-b3c4-376b-8e32-534accb54b6f,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e988d7ac-9260-38b4-afb0-2c187c7ce7c8,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39cd08b3-e9b8-3474-bfb7-91509a259193,0,1,1,1,1,1,1,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0
400cc342-0465-3456-9e3d-cad1797fbb16,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
396fafd8-5ec9-3ea0-b983-383bd65ee4a7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00a60e2f-feee-3420-aef4-effc784e4166,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2667516b-d8ff-3fe7-ac42-8d54b4be45e1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0aabfc3f-f6a0-30bb-bc7f-a6eed98b919e,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31d2577a-c3b7-3df6-aff5-738d21a82b74,0,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0
f10aaa77-b390-38d4-9721-00f673dacf4e,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0b58db2b-0e02-3c1b-8de5-323d281800f7,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1bcdbc83-5616-33fe-b585-0be7a41c5502,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0
e46974b7-524a-3cc6-b849-4a736338da7f,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
dbb76494-12af-3484-9ac1-a77980a81fea,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
dd1fd261-92b9-3424-bf93-26d90b4aef46,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
19764407-29a5-3258-a2c2-5eaf2a4984c2,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
064dae71-362e-31db-8bc9-9818595b28ad,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cb4b63ac-249f-3e7c-9273-bf7214cc460c,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fb672e33-3b74-3a0b-9abd-a21a4c04f4e4,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d803d1c8-730c-3791-93e9-b6bbfa8c59ec,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1ab49879-dd73-3e7c-a56e-c5e11657e33b,0,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0
b9117dca-7bb4-3a9b-9ccf-caa896e5d727,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
a2900c25-736c-3ea0-b980-696c96b595b2,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d944babb-8379-34e4-bf9d-fcde324a220b,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
da7b8163-d47a-30a4-b9cc-66ba9248c12c,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a8383208-3fa4-3318-b5bb-4ab71587b71d,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0
496f797d-65f2-373b-84af-321e848b5e70,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0
2ae36346-51b4-3d75-9048-da541a8e3f8c,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0
6fb3ad62-49d2-3752-86c3-89f9d6c9f3ad,0,1,1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0
3f0c531a-2c9f-3478-ad95-0e995280502a,0,1,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
ab5fb50c-ddf5-3ea6-b231-b6055031970a,0,1,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
82f6534b-f194-3d30-9394-be1b6f953c5f,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0
3a779baa-5e57-3b62-b7a0-3d4aa0515c31,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3d09a086-12f9-38e4-8fd4-dbcac0e54b54,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
af40547b-dd8f-3e02-90d6-780fd804e86c,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
f8c143bb-a814-39b5-9398-3659cbc46d21,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3e995395-6842-3dd4-9669-f1b26c77645d,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5fcbee22-4e8e-3b69-a9d5-24f27f8c0798,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6e1c9844-6049-3570-8f9a-9ac4733d9623,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40860146-e130-3f14-8167-d23dcd2a11b8,1,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
21146fbd-ab49-3df3-b305-a37a81eabdda,0,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
e7a941b1-ce4a-366d-82f4-d41174225af1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c0f72ee1-9c9c-3c2e-8cf2-8d317488d976,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9175ac85-b348-3848-bc7d-e11ac5cc6b63,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
77be7a21-ab02-3469-b4ec-df0d91a6117d,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
4a39975c-dcfa-36d6-956b-35140da894c8,0,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
830ce0a8-4626-3a96-9c9d-8e117aca3a22,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
a825e9a8-3feb-38ba-834f-8788c5672045,0,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
dd87c3d2-ad70-31a3-a579-905f8aefa528,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
92864af8-ed22-376c-b133-bb1df3b50844,0,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
f1df2574-5785-3a57-9fb6-9ba2069a3e5b,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
6e851800-1a2a-3070-bda0-61c8ac123b85,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
fd33c936-1f3d-34c8-b41f-d9930e0b498e,0,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0
b95b67d8-b05d-3d95-9ebd-44a38d90cc0d,0,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
b714d515-ed28-3a4d-bfa8-8ec6efcbfbce,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
f6f49e65-91b5-39bd-b28f-c443f3f78a04,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0daff240-15df-3ef9-83bc-cd00829f6e54,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cdbd0e08-3d6b-3cf8-aa1a-13b3c5638098,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e02deb95-a756-3196-885f-ca25f734fbf6,0,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0
825f34c6-1370-304b-8748-5f0a509c9bbb,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f8bef2ef-a02d-3f32-8a01-c90be885a70e,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
475ea3f3-fa47-3aec-adf6-5518005462a3,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60fe13c5-d699-3708-abb5-bfaccff69764,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ad0453af-1f5c-3792-bc11-b044d78fe70c,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
