attack_name,day,keywords,comments
NationState–NginxDrakonXIM,20180412,"/etc/group","final_report"
NationState–NginxDrakonXIM,20180412,"/tmp/grain","final_report"
NationState–NginxDrakonXIM,20180412,"/tmp/tmux-1002","final_report"
NationState–NginxDrakonXIM,20180412,"nginx,minions,chmod","final_report"
NationState–NginxDrakonXIM,20180412,"nginx,font","final_report"
NationState–NginxDrakonXIM,20180412,"nginx,glx_alsa_675","final_report"
NationState–NginxDrakonXIM,20180412,"XIM,netlog","final_report"
NationState–NginxDrakonXIM,20180412,"sendmail","final_report"
NationState-NginxDrakonpEj72mA,20180413,"putfile,drakon.freebsd.x64_53.158.101.118,pEja72mA","file"
NationState-NginxDrakonpEj72mA,20180413,"putfile,libdrakon.freebsd.x64.so_198.115.236.119,eWq10bVcx","file"
NationState-NginxDrakonpEj72mA,20180413,"cp,eWq10bVcx,memhelp.so","file"
NationState-NginxDrakonpEj72mA,20180413,"cp,memhelp.so,eraseme","file"
NationState-NginxDrakonpEj72mA,20180413,"cp,eraseme,done.so","file"
NationState-NginxDrakonpEj72mA,20180413,"elevate,pEja72mA","process"
NationState-NginxDrakonpEj72mA,20180413,"inject,memhelp.so","process"
NationState-NginxDrakonpEj72mA,20180413,"inject,eraseme","process"
NationState-NginxDrakonpEj72mA,20180413,"inject,/tmp/done.so","process"
NationState-NginxDrakonpEj72mA,20180413,"exploit,25.159.96.207","connection"
NationState-NginxDrakonpEj72mA,20180413,"nginx,78.205.235.65","connection"
NationState-NginxDrakonpEj72mA,20180413,"nginx,155.162.39.48","connection"
NationState-NginxDrakonpEj72mA,20180413,"pEja72mA,53.158.101.118","connection"
NationState-NginxDrakonpEj72mA,20180413,"sshd,198.115.236.119","connection"
NationState-NginxDrakonpEj72mA,20180413,"group","final_report"
NationState-NginxDrakonpEj72mA,20180413,"passwd","final_report"
