attack_name,date,keywords,comments
"NationState–NginxDrakonXIM","20180412","128.55.12.10","final_report "
"NationState–NginxDrakonXIM","20180412","128.55.12.1","final_report "
"NationState–NginxDrakonXIM","20180412","128.55.12.55","final_report "
"NationState–NginxDrakonXIM","20180412","test","final_report"
"NationState-NginxDrakonpEj72mA","20180413","nginx","final_report "
"NationState-NginxDrakonpEj72mA","20180413","76.56.184.25","final_report "
"NationState-NginxDrakonpEj72mA","20180413","155.162.39.48","final_report "
"NationState-NginxDrakonpEj72mA","20180413","passwd","final_report "
"NationState-NginxDrakonpEj72mA","20180413","group","final_report "
"NationState-NginxDrakonpEj72mA","20180413","pEja72mA","final_report "
"NationState-NginxDrakonpEj72mA","20180413","pEja72mA","final_report "
"NationState-NginxDrakonpEj72mA","20180413","eWq10bVcx","final_report "
"NationState-NginxDrakonpEj72mA","20180413","eWq10bVcx","final_report "
"NationState-NginxDrakonpEj72mA","20180413","glx_alsa_675","final_report "
"NationState-NginxDrakonpEj72mA","20180413","pEja72mA","final_report "
"NationState-NginxDrakonpEj72mA","20180413","pEja72mA","final_report "
"NationState-NginxDrakonpEj72mA","20180413","53.158.101.118:80","final_report "
"NationState-NginxDrakonpEj72mA","20180413","passwd","final_report "
"NationState-NginxDrakonpEj72mA","20180413","eWq10bVcx","final_report "
"NationState-NginxDrakonpEj72mA","20180413","memhelp.so","final_report "
"NationState-NginxDrakonpEj72mA","20180413","memhelp.so","final_report "
"NationState-NginxDrakonpEj72mA","20180413","eraseme","final_report "
"NationState-NginxDrakonpEj72mA","20180413","eraseme","final_report "
"NationState-NginxDrakonpEj72mA","20180413","done.so","final_report "
