"","CondRules","ResRules","Support","Confidence","Lift"
"136","EVENT_CLOSE","EVENT_OPEN,EVENT_MMAP",28.32,55.1,0.807
"137","EVENT_MMAP","EVENT_OPEN,EVENT_CLOSE",28.32,41.46,0.807
"138","EVENT_OPEN","EVENT_MMAP,EVENT_CLOSE",28.32,30.79,1.087
"139","EVENT_MMAP,EVENT_CHANGE_PRINCIPAL","EVENT_OPEN",12.61,100,1.087
"140","EVENT_OPEN,EVENT_CHANGE_PRINCIPAL","EVENT_MMAP",12.61,99.86,1.462
"141","EVENT_OPEN,EVENT_MMAP","EVENT_CHANGE_PRINCIPAL",12.61,18.45,1.461
"142","EVENT_CHANGE_PRINCIPAL","EVENT_OPEN,EVENT_MMAP",12.61,99.82,1.461
"143","EVENT_MMAP","EVENT_OPEN,EVENT_CHANGE_PRINCIPAL",12.61,18.45,1.462
"144","EVENT_OPEN","EVENT_MMAP,EVENT_CHANGE_PRINCIPAL",12.61,13.7,1.087
"145","EVENT_CREATE_OBJECT,EVENT_CONNECT","EVENT_OPEN",10.16,99.83,1.085
"146","EVENT_OPEN,EVENT_CONNECT","EVENT_CREATE_OBJECT",10.16,100,7.55
"147","EVENT_OPEN,EVENT_CREATE_OBJECT","EVENT_CONNECT",10.16,77.02,7.57
"148","EVENT_CONNECT","EVENT_OPEN,EVENT_CREATE_OBJECT",10.16,99.83,7.57
"149","EVENT_CREATE_OBJECT","EVENT_OPEN,EVENT_CONNECT",10.16,76.68,7.55
"150","EVENT_OPEN","EVENT_CREATE_OBJECT,EVENT_CONNECT",10.16,11.04,1.085
"151","EVENT_CREATE_OBJECT,EVENT_CLOSE","EVENT_OPEN",12.83,100,1.087
"152","EVENT_OPEN,EVENT_CLOSE","EVENT_CREATE_OBJECT",12.83,24.96,1.884
"153","EVENT_OPEN,EVENT_CREATE_OBJECT","EVENT_CLOSE",12.83,97.27,1.892
"154","EVENT_CLOSE","EVENT_OPEN,EVENT_CREATE_OBJECT",12.83,24.96,1.892
"155","EVENT_CREATE_OBJECT","EVENT_OPEN,EVENT_CLOSE",12.83,96.85,1.884
"156","EVENT_OPEN","EVENT_CREATE_OBJECT,EVENT_CLOSE",12.83,13.95,1.087
"157","EVENT_CREATE_OBJECT,EVENT_CHANGE_PRINCIPAL","EVENT_OPEN",12.07,99.95,1.087
"158","EVENT_OPEN,EVENT_CHANGE_PRINCIPAL","EVENT_CREATE_OBJECT",12.07,95.65,7.221
"159","EVENT_OPEN,EVENT_CREATE_OBJECT","EVENT_CHANGE_PRINCIPAL",12.07,91.54,7.249
"160","EVENT_CHANGE_PRINCIPAL","EVENT_OPEN,EVENT_CREATE_OBJECT",12.07,95.61,7.249
"161","EVENT_CREATE_OBJECT","EVENT_OPEN,EVENT_CHANGE_PRINCIPAL",12.07,91.15,7.221
"162","EVENT_OPEN","EVENT_CREATE_OBJECT,EVENT_CHANGE_PRINCIPAL",12.07,13.13,1.087
"163","EVENT_CONNECT,EVENT_CLOSE","EVENT_OPEN",10.01,100,1.087
"164","EVENT_OPEN,EVENT_CLOSE","EVENT_CONNECT",10.01,19.47,1.914
"165","EVENT_OPEN,EVENT_CONNECT","EVENT_CLOSE",10.01,98.54,1.917
"166","EVENT_CLOSE","EVENT_OPEN,EVENT_CONNECT",10.01,19.47,1.917
"167","EVENT_CONNECT","EVENT_OPEN,EVENT_CLOSE",10.01,98.37,1.914
"168","EVENT_OPEN","EVENT_CONNECT,EVENT_CLOSE",10.01,10.88,1.087
"169","EVENT_CLOSE,EVENT_CHANGE_PRINCIPAL","EVENT_OPEN",12.44,100,1.087
"170","EVENT_OPEN,EVENT_CHANGE_PRINCIPAL","EVENT_CLOSE",12.44,98.6,1.918
"171","EVENT_OPEN,EVENT_CLOSE","EVENT_CHANGE_PRINCIPAL",12.44,24.21,1.917
"172","EVENT_CHANGE_PRINCIPAL","EVENT_OPEN,EVENT_CLOSE",12.44,98.55,1.917
"173","EVENT_CLOSE","EVENT_OPEN,EVENT_CHANGE_PRINCIPAL",12.44,24.21,1.918
"174","EVENT_OPEN","EVENT_CLOSE,EVENT_CHANGE_PRINCIPAL",12.44,13.53,1.087
"175","EVENT_LSEEK,EVENT_MMAP","EVENT_READ",68.17,100,1.006
"176","EVENT_READ,EVENT_MMAP","EVENT_LSEEK",68.17,99.9,1.462
"177","EVENT_READ,EVENT_LSEEK","EVENT_MMAP",68.17,99.77,1.461
"178","EVENT_MMAP","EVENT_READ,EVENT_LSEEK",68.17,99.8,1.461
"179","EVENT_LSEEK","EVENT_READ,EVENT_MMAP",68.17,99.75,1.462
"180","EVENT_READ","EVENT_LSEEK,EVENT_MMAP",68.17,68.57,1.006
"181","EVENT_LSEEK,EVENT_CREATE_OBJECT","EVENT_READ",13.18,99.96,1.005
"182","EVENT_READ,EVENT_CREATE_OBJECT","EVENT_LSEEK",13.18,99.7,1.459
"183","EVENT_READ,EVENT_LSEEK","EVENT_CREATE_OBJECT",13.18,19.29,1.456
"184","EVENT_CREATE_OBJECT","EVENT_READ,EVENT_LSEEK",13.18,99.48,1.456
"185","EVENT_LSEEK","EVENT_READ,EVENT_CREATE_OBJECT",13.18,19.28,1.459
"186","EVENT_READ","EVENT_LSEEK,EVENT_CREATE_OBJECT",13.18,13.26,1.005
"187","EVENT_LSEEK,EVENT_CONNECT","EVENT_READ",10.15,99.94,1.005
"188","EVENT_READ,EVENT_CONNECT","EVENT_LSEEK",10.15,99.94,1.462
"189","EVENT_READ,EVENT_LSEEK","EVENT_CONNECT",10.15,14.86,1.46
"190","EVENT_CONNECT","EVENT_READ,EVENT_LSEEK",10.15,99.78,1.46
"191","EVENT_LSEEK","EVENT_READ,EVENT_CONNECT",10.15,14.85,1.462
"192","EVENT_READ","EVENT_LSEEK,EVENT_CONNECT",10.15,10.21,1.005
"193","EVENT_LSEEK,EVENT_CLOSE","EVENT_READ",28.28,100,1.006
"194","EVENT_READ,EVENT_CLOSE","EVENT_LSEEK",28.28,55.04,0.805
"195","EVENT_READ,EVENT_LSEEK","EVENT_CLOSE",28.28,41.38,0.805
"196","EVENT_CLOSE","EVENT_READ,EVENT_LSEEK",28.28,55.01,0.805
"197","EVENT_LSEEK","EVENT_READ,EVENT_CLOSE",28.28,41.38,0.805
"198","EVENT_READ","EVENT_LSEEK,EVENT_CLOSE",28.28,28.44,1.006
"199","EVENT_LSEEK,EVENT_CHANGE_PRINCIPAL","EVENT_READ",12.61,99.95,1.005
"200","EVENT_READ,EVENT_CHANGE_PRINCIPAL","EVENT_LSEEK",12.61,99.91,1.462
"201","EVENT_READ,EVENT_LSEEK","EVENT_CHANGE_PRINCIPAL",12.61,18.46,1.462
"202","EVENT_CHANGE_PRINCIPAL","EVENT_READ,EVENT_LSEEK",12.61,99.86,1.462
"203","EVENT_LSEEK","EVENT_READ,EVENT_CHANGE_PRINCIPAL",12.61,18.45,1.462
"204","EVENT_READ","EVENT_LSEEK,EVENT_CHANGE_PRINCIPAL",12.61,12.69,1.005
"205","EVENT_MMAP,EVENT_CREATE_OBJECT","EVENT_READ",13.06,100,1.006
"206","EVENT_READ,EVENT_CREATE_OBJECT","EVENT_MMAP",13.06,98.83,1.447
"207","EVENT_READ,EVENT_MMAP","EVENT_CREATE_OBJECT",13.06,19.14,1.445
"208","EVENT_CREATE_OBJECT","EVENT_READ,EVENT_MMAP",13.06,98.62,1.445
"209","EVENT_MMAP","EVENT_READ,EVENT_CREATE_OBJECT",13.06,19.12,1.447
"210","EVENT_READ","EVENT_MMAP,EVENT_CREATE_OBJECT",13.06,13.14,1.006
"211","EVENT_MMAP,EVENT_CONNECT","EVENT_READ",10.03,100,1.006
"212","EVENT_READ,EVENT_CONNECT","EVENT_MMAP",10.03,98.76,1.446
"213","EVENT_READ,EVENT_MMAP","EVENT_CONNECT",10.03,14.7,1.445
"214","EVENT_CONNECT","EVENT_READ,EVENT_MMAP",10.03,98.59,1.445
"215","EVENT_MMAP","EVENT_READ,EVENT_CONNECT",10.03,14.69,1.446
"216","EVENT_READ","EVENT_MMAP,EVENT_CONNECT",10.03,10.09,1.006
"217","EVENT_MMAP,EVENT_CLOSE","EVENT_READ",28.31,99.96,1.006
"218","EVENT_READ,EVENT_CLOSE","EVENT_MMAP",28.31,55.1,0.807
"219","EVENT_READ,EVENT_MMAP","EVENT_CLOSE",28.31,41.49,0.807
"220","EVENT_CLOSE","EVENT_READ,EVENT_MMAP",28.31,55.07,0.807
"221","EVENT_MMAP","EVENT_READ,EVENT_CLOSE",28.31,41.45,0.807
"222","EVENT_READ","EVENT_MMAP,EVENT_CLOSE",28.31,28.48,1.006
"223","EVENT_MMAP,EVENT_CHANGE_PRINCIPAL","EVENT_READ",12.61,100,1.006
"224","EVENT_READ,EVENT_CHANGE_PRINCIPAL","EVENT_MMAP",12.61,99.86,1.462
"225","EVENT_READ,EVENT_MMAP","EVENT_CHANGE_PRINCIPAL",12.61,18.47,1.463
"226","EVENT_CHANGE_PRINCIPAL","EVENT_READ,EVENT_MMAP",12.61,99.82,1.463
"227","EVENT_MMAP","EVENT_READ,EVENT_CHANGE_PRINCIPAL",12.61,18.45,1.462
"228","EVENT_READ","EVENT_MMAP,EVENT_CHANGE_PRINCIPAL",12.61,12.68,1.006
"229","EVENT_CREATE_OBJECT,EVENT_CONNECT","EVENT_READ",10.16,99.83,1.004
"230","EVENT_READ,EVENT_CONNECT","EVENT_CREATE_OBJECT",10.16,100,7.55
"231","EVENT_READ,EVENT_CREATE_OBJECT","EVENT_CONNECT",10.16,76.85,7.553
"232","EVENT_CONNECT","EVENT_READ,EVENT_CREATE_OBJECT",10.16,99.83,7.553
"233","EVENT_CREATE_OBJECT","EVENT_READ,EVENT_CONNECT",10.16,76.68,7.55
"234","EVENT_READ","EVENT_CREATE_OBJECT,EVENT_CONNECT",10.16,10.22,1.004
"235","EVENT_CREATE_OBJECT,EVENT_CLOSE","EVENT_READ",12.83,100,1.006
"236","EVENT_READ,EVENT_CLOSE","EVENT_CREATE_OBJECT",12.83,24.97,1.885
"237","EVENT_READ,EVENT_CREATE_OBJECT","EVENT_CLOSE",12.83,97.06,1.888
"238","EVENT_CLOSE","EVENT_READ,EVENT_CREATE_OBJECT",12.83,24.96,1.888
"239","EVENT_CREATE_OBJECT","EVENT_READ,EVENT_CLOSE",12.83,96.85,1.885
"240","EVENT_READ","EVENT_CREATE_OBJECT,EVENT_CLOSE",12.83,12.9,1.006
"241","EVENT_CREATE_OBJECT,EVENT_CHANGE_PRINCIPAL","EVENT_READ",12.07,99.95,1.005
"242","EVENT_READ,EVENT_CHANGE_PRINCIPAL","EVENT_CREATE_OBJECT",12.07,95.65,7.221
"243","EVENT_READ,EVENT_CREATE_OBJECT","EVENT_CHANGE_PRINCIPAL",12.07,91.35,7.234
"244","EVENT_CHANGE_PRINCIPAL","EVENT_READ,EVENT_CREATE_OBJECT",12.07,95.61,7.234
"245","EVENT_CREATE_OBJECT","EVENT_READ,EVENT_CHANGE_PRINCIPAL",12.07,91.15,7.221
"246","EVENT_READ","EVENT_CREATE_OBJECT,EVENT_CHANGE_PRINCIPAL",12.07,12.14,1.005
"247","EVENT_CONNECT,EVENT_CLOSE","EVENT_READ",10.01,100,1.006
"248","EVENT_READ,EVENT_CLOSE","EVENT_CONNECT",10.01,19.48,1.915
"249","EVENT_READ,EVENT_CONNECT","EVENT_CLOSE",10.01,98.54,1.917
"250","EVENT_CLOSE","EVENT_READ,EVENT_CONNECT",10.01,19.47,1.917
"251","EVENT_CONNECT","EVENT_READ,EVENT_CLOSE",10.01,98.37,1.915
"252","EVENT_READ","EVENT_CONNECT,EVENT_CLOSE",10.01,10.07,1.006
"253","EVENT_CLOSE,EVENT_CHANGE_PRINCIPAL","EVENT_READ",12.44,100,1.006
"254","EVENT_READ,EVENT_CHANGE_PRINCIPAL","EVENT_CLOSE",12.44,98.6,1.918
"255","EVENT_READ,EVENT_CLOSE","EVENT_CHANGE_PRINCIPAL",12.44,24.22,1.918
"256","EVENT_CHANGE_PRINCIPAL","EVENT_READ,EVENT_CLOSE",12.44,98.55,1.918
"257","EVENT_CLOSE","EVENT_READ,EVENT_CHANGE_PRINCIPAL",12.44,24.21,1.918
"258","EVENT_READ","EVENT_CLOSE,EVENT_CHANGE_PRINCIPAL",12.44,12.52,1.006
"259","EVENT_MMAP,EVENT_CREATE_OBJECT","EVENT_LSEEK",13.06,99.96,1.463
"260","EVENT_LSEEK,EVENT_CREATE_OBJECT","EVENT_MMAP",13.06,99.05,1.45
"261","EVENT_LSEEK,EVENT_MMAP","EVENT_CREATE_OBJECT",13.06,19.15,1.446
"262","EVENT_CREATE_OBJECT","EVENT_LSEEK,EVENT_MMAP",13.06,98.58,1.446
"263","EVENT_MMAP","EVENT_LSEEK,EVENT_CREATE_OBJECT",13.06,19.12,1.45
"264","EVENT_LSEEK","EVENT_MMAP,EVENT_CREATE_OBJECT",13.06,19.11,1.463
"265","EVENT_MMAP,EVENT_CONNECT","EVENT_LSEEK",10.03,100,1.463
"266","EVENT_LSEEK,EVENT_CONNECT","EVENT_MMAP",10.03,98.76,1.446
"267","EVENT_LSEEK,EVENT_MMAP","EVENT_CONNECT",10.03,14.72,1.446
"268","EVENT_CONNECT","EVENT_LSEEK,EVENT_MMAP",10.03,98.59,1.446
"269","EVENT_MMAP","EVENT_LSEEK,EVENT_CONNECT",10.03,14.69,1.446
"270","EVENT_LSEEK","EVENT_MMAP,EVENT_CONNECT",10.03,14.68,1.463
"271","EVENT_MMAP,EVENT_CLOSE","EVENT_LSEEK",28.25,99.74,1.459
"272","EVENT_LSEEK,EVENT_CLOSE","EVENT_MMAP",28.25,99.9,1.463
"273","EVENT_LSEEK,EVENT_MMAP","EVENT_CLOSE",28.25,41.44,0.806
"274","EVENT_CLOSE","EVENT_LSEEK,EVENT_MMAP",28.25,54.95,0.806
"275","EVENT_MMAP","EVENT_LSEEK,EVENT_CLOSE",28.25,41.35,1.463
"276","EVENT_LSEEK","EVENT_MMAP,EVENT_CLOSE",28.25,41.33,1.459
"277","EVENT_MMAP,EVENT_CHANGE_PRINCIPAL","EVENT_LSEEK",12.6,99.95,1.463
"278","EVENT_LSEEK,EVENT_CHANGE_PRINCIPAL","EVENT_MMAP",12.6,99.86,1.462
"279","EVENT_LSEEK,EVENT_MMAP","EVENT_CHANGE_PRINCIPAL",12.6,18.48,1.464
"280","EVENT_CHANGE_PRINCIPAL","EVENT_LSEEK,EVENT_MMAP",12.6,99.77,1.464
"281","EVENT_MMAP","EVENT_LSEEK,EVENT_CHANGE_PRINCIPAL",12.6,18.45,1.462
"282","EVENT_LSEEK","EVENT_MMAP,EVENT_CHANGE_PRINCIPAL",12.6,18.44,1.463
"283","EVENT_CREATE_OBJECT,EVENT_CONNECT","EVENT_LSEEK",10.16,99.83,1.461
"284","EVENT_LSEEK,EVENT_CONNECT","EVENT_CREATE_OBJECT",10.16,100,7.55
"285","EVENT_LSEEK,EVENT_CREATE_OBJECT","EVENT_CONNECT",10.16,77.05,7.573
"286","EVENT_CONNECT","EVENT_LSEEK,EVENT_CREATE_OBJECT",10.16,99.83,7.573
"287","EVENT_CREATE_OBJECT","EVENT_LSEEK,EVENT_CONNECT",10.16,76.68,7.55
"288","EVENT_LSEEK","EVENT_CREATE_OBJECT,EVENT_CONNECT",10.16,14.86,1.461
"289","EVENT_CREATE_OBJECT,EVENT_CLOSE","EVENT_LSEEK",12.82,99.96,1.463
"290","EVENT_LSEEK,EVENT_CLOSE","EVENT_CREATE_OBJECT",12.82,45.35,3.424
"291","EVENT_LSEEK,EVENT_CREATE_OBJECT","EVENT_CLOSE",12.82,97.27,1.892
"292","EVENT_CLOSE","EVENT_LSEEK,EVENT_CREATE_OBJECT",12.82,24.94,1.892
"293","EVENT_CREATE_OBJECT","EVENT_LSEEK,EVENT_CLOSE",12.82,96.8,3.424
