"","Objects","AVGScoresOfObjectsConfidence","AVGScoresOfObjectsLift"
"19","d944babb-8379-34e4-bf9d-fcde324a220b","7.45470035847939e+20","479540546171836224"
"20","3a779baa-5e57-3b62-b7a0-3d4aa0515c31","9.72025603887445e+38","5.95641212089908e+35"
"21","3d09a086-12f9-38e4-8fd4-dbcac0e54b54","7.45470035847939e+20","479540546171836224"
"22","40860146-e130-3f14-8167-d23dcd2a11b8","18443097348.3237","31272865.2540287"
"23","c0f72ee1-9c9c-3c2e-8cf2-8d317488d976","8.19746286100504e+64","4.87845218396552e+61"
"24","cdbd0e08-3d6b-3cf8-aa1a-13b3c5638098","7.45470035847939e+20","479540546171836224"
"25","da6aac47-2842-3cd6-86d8-e132f7a491c5","7.45470035847939e+20","479540546171836224"
"26","71ff636d-9088-3d7b-bb04-aa89e36e4380","5.29159681657296e+39","4.8470699898756e+36"
"27","cc5ccb5e-b3cb-3d0e-a4b3-d583b8b26d7b","5.29159681657296e+39","4.8470699898756e+36"
"28","cf4745aa-040d-3f89-a241-33d5fd2e005b","5.29159681657296e+39","4.8470699898756e+36"
"29","3690c1d7-1d0a-3354-9548-c23702132588","2.12525470455243e+57","1.38910410363024e+54"
"30","5dd95c07-7369-3684-853e-d4a68f8cc26c","2.12525470455243e+57","1.38910410363024e+54"
"31","ca2b6c89-6520-3b4c-87bc-f09d90efe2f1","5.29159681657296e+39","4.8470699898756e+36"
"32","b5a49e89-29e8-3819-aecc-b352e2041aaf","7.45470035847939e+20","479540546171836224"
"33","a2b51c39-eb12-309c-a935-245d5eb7c07b","2.12525470455243e+57","1.38910410363024e+54"
"34","36421e04-38b5-318e-9d79-127504edfea2","2.12525470455243e+57","1.38910410363024e+54"
"35","b3bf9cac-dacb-33ee-b9a7-115ed44e9c61","9.72025603887445e+38","5.95641212089908e+35"
"36","5fec8a92-a89a-3b9b-87b2-843e0a268c62","18443097348.3237","31272865.2540287"
"37","fb6e75eb-2e59-382f-94c4-3332138baccf","9.72025603887445e+38","5.95641212089908e+35"
"38","fc9f4966-2827-3a01-a351-5747724225ac","9.88366054518217e+61","9.13220282020993e+58"
"39","f8c2efcc-e7cd-3fb1-bcf0-134ebb5be36a","1.46926230545018e+38","1.46457693913086e+35"
"40","c53690a2-407f-38ba-9307-a0eb87738be5","7.45470035847939e+20","479540546171836224"
"41","d3fcd404-35d0-34d4-a37d-53e34bd2f5ec","7.45470035847939e+20","479540546171836224"
"42","2a6887b4-0489-3191-a15a-763a92fffff0","7.45470035847939e+20","479540546171836224"
"43","48c0f1ba-cd8c-3c2f-928b-9fe558baae80","7.45470035847939e+20","479540546171836224"
"44","05f35570-c705-3861-b1e6-1ce582bccabf","7.45470035847939e+20","479540546171836224"
"45","78cde849-c6f6-37fc-9ed4-6867b72bc333","7.45470035847939e+20","479540546171836224"
"46","ff170d5c-8aa8-32ac-9a2a-5aa2a4593c98","7.45470035847939e+20","479540546171836224"
"47","b3984d34-ed6c-3b72-a197-2a6f9b413aac","7.45470035847939e+20","479540546171836224"
"48","58b8af76-a2b6-3948-a939-f8b68eccfa02","7.45470035847939e+20","479540546171836224"
"49","e8530103-db9e-31fc-b4b2-dbfa86033a5d","7.45470035847939e+20","479540546171836224"
"50","556297ec-0cc7-3a34-b1f9-fd7e0561b360","7.45470035847939e+20","479540546171836224"
"51","b3b69822-c540-311d-98a9-4f2bbfbe96ba","7.45470035847939e+20","479540546171836224"
"52","01f86137-2286-32a5-8dbf-8095a9a5aa78","18443097348.3237","31272865.2540287"
"53","d328bd84-4354-3553-adca-59907e1ef3d8","4.93889224238879e+39","9.7859400133554e+36"
"54","2fd5934b-e18b-3d3e-9b12-6d3bb5713b07","7.45470035847939e+20","479540546171836224"
"55","f249ba53-32fa-31d3-be9d-9073ca2a4d75","2.42913664102506e+21","1964752287806864896"
"56","796977c0-f3cf-3f68-bf61-d46f9376e974","7.45470035847939e+20","479540546171836224"
"57","8104f499-f58b-3bc8-bfef-cda47a8d7b85","7.45470035847939e+20","479540546171836224"
"58","d6c2af9b-901d-35cc-91c0-505390ff41ab","7.45470035847939e+20","479540546171836224"
"59","3931faeb-611e-37fe-b2af-1cf4d8093de2","7.45470035847939e+20","479540546171836224"
"60","36958238-9bac-3636-99e5-9c593516550b","7.45470035847939e+20","479540546171836224"
"61","4e103dad-96a2-373b-927b-20aa7f9d0e1e","17722095848.285","31177969.2401166"
"62","b4b00521-c1c5-30dc-aed8-eb5956417533","7.45470035847939e+20","479540546171836224"
"63","a2881dc2-413e-339f-a9aa-0f3d09cc50c0","7.45470035847939e+20","479540546171836224"
"64","e1dbc54d-410d-391d-af29-3598c0fb1dbe","7.45470035847939e+20","479540546171836224"
"65","2c517216-05fc-3d6e-a657-694dbdf05bee","7.45470035847939e+20","479540546171836224"
"66","40c80455-9670-346c-ab7d-576670016e7d","7.45470035847939e+20","479540546171836224"
"67","b20f53bb-28b1-3bb1-a5ad-faa7e78663ff","7.45470035847939e+20","479540546171836224"
"68","7d878d01-5757-3261-87e8-0cd8ab07c238","7.45470035847939e+20","479540546171836224"
"69","5da74189-2b05-39a0-b760-8e14d7bdf365","7.45470035847939e+20","479540546171836224"
"70","2f2221f0-c364-3c17-9234-17fafb4bf219","7.45470035847939e+20","479540546171836224"
"71","7dbf8049-9916-37b5-a47f-d720bc2f534a","7.45470035847939e+20","479540546171836224"
"72","df9f0557-f6ee-3a13-bba1-4329209bdd85","2.42913664102506e+21","1964752287806864896"
"73","a30edb2d-dc14-3de2-b7da-9df3dd7b0a67","7.45470035847939e+20","479540546171836224"
"74","aa357b89-d7f2-3b39-a3f1-19a451f56e08","7.45470035847939e+20","479540546171836224"
"75","fb51ec14-f279-3bd7-bd3a-98c8ba5131df","7.45470035847939e+20","479540546171836224"
"76","f4fb574c-9b0f-3953-b197-789d4a21b641","7.45470035847939e+20","479540546171836224"
"77","07729b52-837f-3821-8406-029a44a2eb99","7.45470035847939e+20","479540546171836224"
"78","d81c469e-7bdf-3c8a-8171-6807396ebb1c","7.45470035847939e+20","479540546171836224"
"79","0633c316-f787-3db6-8aa3-6cdb33ba8f5c","7.45470035847939e+20","479540546171836224"
"80","d1d909a0-6a81-340a-9415-52cbd1a517a0","7.45470035847939e+20","479540546171836224"
"81","006e7ac6-b142-3eca-8c57-5f19b0aacdb9","7.45470035847939e+20","479540546171836224"
"82","f94cb88f-49aa-3703-9dce-5c115768185d","7.45470035847939e+20","479540546171836224"
"83","6d51f457-3c56-3b11-baf8-116ea47cd846","7.45470035847939e+20","479540546171836224"
"84","427cc522-9967-397c-80f7-3f0ff345c4ce","7.45470035847939e+20","479540546171836224"
"85","a337873f-251e-30e8-8fcb-a0367c5fe690","7.45470035847939e+20","479540546171836224"
"86","31699be4-76e4-320e-998a-e0d48c6a7c1c","7.45470035847939e+20","479540546171836224"
"87","2f240aed-c240-3635-abd3-afc9b4ad0904","18443097348.3237","31272865.2540287"
"88","24a09bff-3d49-3b46-bbb6-19bd3d8f4c1f","18443097348.3237","31272865.2540287"
"89","7f62d6af-9439-3401-ad32-23943790422c","7.45470035847939e+20","479540546171836224"
"90","315194a2-cb40-3549-be88-a0c09efd0c3e","7.45470035847939e+20","479540546171836224"
"91","c908abc9-578a-3b9e-8055-36bcc2adcb2b","7.45470035847939e+20","479540546171836224"
"92","42523aab-4dee-38fd-a71d-df1b606cc061","7.45470035847939e+20","479540546171836224"
"93","b9eb5f25-520e-3575-ab16-468ab812e219","7.45470035847939e+20","479540546171836224"
"94","dd60f66e-a42c-35bb-8c7e-64807526bff2","7.45470035847939e+20","479540546171836224"
"95","c7fd49c2-ef9b-3233-b414-a76140310d8c","7.45470035847939e+20","479540546171836224"
"96","caf49f22-c708-3fc7-84c7-b6622974b853","7.45470035847939e+20","479540546171836224"
"97","3244f4c7-ca5d-3ad2-8d82-23564bad25f3","7.45470035847939e+20","479540546171836224"
"98","fda1344b-17c0-3691-82c3-0f0ff06743fc","7.45470035847939e+20","479540546171836224"
"99","51d5d4c0-1731-3bee-bf4a-81ad92a9e4c1","7.45470035847939e+20","479540546171836224"
"100","9687a441-3a32-3a97-8662-3231451b1cfe","7.45470035847939e+20","479540546171836224"
"101","5993260e-fcbe-34ed-8e86-9422907c765c","2.42913664102506e+21","1964752287806864896"
"102","ca2558b3-1e84-3a60-99bf-e9c030b36b3c","7.45470035847939e+20","479540546171836224"
"103","a97ec245-c96b-35ab-821d-97b7c1d3c10f","7.45470035847939e+20","479540546171836224"
"104","f14dcc42-9c40-3818-987c-5ff1556c554e","7.45470035847939e+20","479540546171836224"
"105","2a0ce21b-f5ac-34f9-a143-ebe6a94d3e35","7.45470035847939e+20","479540546171836224"
"106","7b46ac92-8870-3095-8ecd-95f40e1e4146","7.45470035847939e+20","479540546171836224"
"107","26fd1c72-1b79-3f12-8e93-0cfe75c101e9","7.45470035847939e+20","479540546171836224"
"108","56145716-ff70-3190-ae4c-13be652c0542","7.45470035847939e+20","479540546171836224"
"109","ae76ed51-3e57-3943-8a26-059913383d8c","7.45470035847939e+20","479540546171836224"
"110","9331c15e-0ebf-3bf0-a7b7-73b12b7e53b7","7.45470035847939e+20","479540546171836224"
"111","56a4b28b-7858-345a-8303-ad5ba9737217","7.45470035847939e+20","479540546171836224"
"112","5123164f-e1bc-3aba-b937-7e6532e3b09d","7.45470035847939e+20","479540546171836224"
"113","b8ba1c53-d928-3d4b-8237-98ef9b5959e6","7.45470035847939e+20","479540546171836224"
"114","95f3a9c5-7f1e-3c4e-8e36-511b7a21e6e3","7.45470035847939e+20","479540546171836224"
"115","f5a5466d-1d1b-36b0-873a-58840fda65ea","7.45470035847939e+20","479540546171836224"
"116","6dbee4d7-7d2b-3afd-94b2-382da43755b8","7.45470035847939e+20","479540546171836224"
"117","ec1c3f72-3141-3c3f-b98e-f07de9b0c422","7.45470035847939e+20","479540546171836224"
"118","48affaf1-19cc-3c44-a2f4-4761cc591176","2.42913664102506e+21","1964752287806864896"
"119","72a78554-cad2-326d-8e1b-9d5042f0523b","7.45470035847939e+20","479540546171836224"
"120","5335dba0-3064-31b4-bdec-1a1244dba4ba","7.45470035847939e+20","479540546171836224"
"121","a991db2e-041c-302a-b01c-3ded5f8d3a06","7.45470035847939e+20","479540546171836224"
"122","2a413a1b-72bb-33d4-b873-da67df387621","7.45470035847939e+20","479540546171836224"
"123","f907465e-54a0-3ad3-8466-a69683a2baa3","7.45470035847939e+20","479540546171836224"
"124","aa21461c-7cce-3e6b-89ae-515f0936de9d","7.45470035847939e+20","479540546171836224"
"125","5f04d449-d91b-38f1-8069-969c8d1872f0","7.45470035847939e+20","479540546171836224"
"126","06701fbf-6177-3f86-817a-b55784807b3d","7.45470035847939e+20","479540546171836224"
"127","f28e5897-98a0-308f-9e82-cadd9fdd6870","7.45470035847939e+20","479540546171836224"
"128","e02eaf29-120d-325f-ae7e-e9e985ffef9f","7.45470035847939e+20","479540546171836224"
"129","1244115c-f213-3da4-97be-ef0c78327e96","7.45470035847939e+20","479540546171836224"
"130","79f33447-5a4c-3cf4-8609-742ad514bdbd","7.45470035847939e+20","479540546171836224"
"131","b088b483-974b-31a9-9a1a-0743b1ba0307","7.45470035847939e+20","479540546171836224"
"132","bd070a47-ba6b-3ff0-b07d-919758029ffc","7.45470035847939e+20","479540546171836224"
"133","02b53a31-3915-36f3-861f-9486a50aece2","7.45470035847939e+20","479540546171836224"
"134","989d4b57-4825-3227-b021-3c87ce522642","7.45470035847939e+20","479540546171836224"
"135","df135762-7995-3a37-8fdb-db4f85c0af84","7.45470035847939e+20","479540546171836224"
"136","b64ac3fe-6930-3761-aadb-7ebec7da02a8","7.45470035847939e+20","479540546171836224"
"137","3c6662dc-a7b0-395c-b627-a99d6672978b","7.45470035847939e+20","479540546171836224"
"138","21b191ec-c37f-310d-aafe-eab0584514b3","7.45470035847939e+20","479540546171836224"
"139","f70d0094-3ebc-389b-80e6-0fb712c714ef","7.45470035847939e+20","479540546171836224"
"140","7e2be4d2-d602-3e74-9070-21211b298f34","7.45470035847939e+20","479540546171836224"
"141","df3e864b-fdab-39e6-8898-9d9c26bcb741","7.45470035847939e+20","479540546171836224"
"142","7afff339-0e75-34ac-a68a-9527671f9ae8","7.45470035847939e+20","479540546171836224"
"143","2ccba510-f265-3163-a89d-8030353626d7","7.45470035847939e+20","479540546171836224"
"144","d0dc1618-e2ce-3981-aef2-fdd4f76d1c95","7.45470035847939e+20","479540546171836224"
"145","3b4f5d41-1f00-3957-89f8-d6569705e9db","7.45470035847939e+20","479540546171836224"
"146","340f190c-eafc-38a6-9541-22d4cc4187d8","2.42913664102506e+21","1964752287806864896"
"147","4d7ea00a-ba04-330c-8249-4fbb78b4b7cd","7.45470035847939e+20","479540546171836224"
"148","bbe429cb-a919-3c65-b13f-11a02cc9b8d3","7.45470035847939e+20","479540546171836224"
"149","ca1c1ce7-cdbc-3303-8a23-2ad967262826","7.45470035847939e+20","479540546171836224"
"150","80cd4997-ae34-3f10-8794-6889356ba691","7.45470035847939e+20","479540546171836224"
"151","25775cdd-19a4-3a43-b2a8-97310587f0fa","7.45470035847939e+20","479540546171836224"
"152","37716494-5588-3e24-a846-cea1e9317efa","7.45470035847939e+20","479540546171836224"
"153","e48911c6-2f17-36ef-a90c-52890c3f0509","7.45470035847939e+20","479540546171836224"
"154","66a95593-b50e-3a5e-99f1-05ce1008bb2b","7.45470035847939e+20","479540546171836224"
"155","01b9f793-cb43-308a-85e2-339caeee8da2","7.45470035847939e+20","479540546171836224"
"156","a10229c1-ed7b-3683-bc7b-f45162b66674","7.45470035847939e+20","479540546171836224"
"157","de57ebab-0f41-3d0e-8d5d-3d8373e68f4b","7.45470035847939e+20","479540546171836224"
"158","616c3303-b153-3f42-980f-4f4c3471f334","7.45470035847939e+20","479540546171836224"
"159","9b2b06c5-76ce-3fb2-8d26-86bf118e22e0","7.45470035847939e+20","479540546171836224"
"160","262f021e-0e7b-3774-a4c7-383d4b18ebde","7.45470035847939e+20","479540546171836224"
"161","4ca36d78-2c9b-34e9-bf35-a173f0782e0c","7.45470035847939e+20","479540546171836224"
"162","a135d816-1ca7-36e5-9c59-21ab896760a8","7.45470035847939e+20","479540546171836224"
"163","4ace9725-a7e2-3c1b-87dc-6ce4c97702da","7.45470035847939e+20","479540546171836224"
"164","5f2087d3-ead8-3d24-b770-e198e127714c","2.42913664102506e+21","1964752287806864896"
"165","e64c6b72-a354-3bfc-bdbd-70a0c2c9908b","6.9727998201809e+64","4.87711110398735e+61"
"166","60a7abe0-bad6-3160-965c-ecc930befabb","6.9727998201809e+64","4.87711110398735e+61"
"167","b45ebaf2-592a-3b9a-9f76-31bff659df11","6.9727998201809e+64","4.87711110398735e+61"
"168","131517ae-52b9-385a-adf5-34fbc04b70c6","7.45470035847939e+20","479540546171836224"
"169","b7523356-bd01-3dfe-8f7a-5ec9c9ecfcb4","7.45470035847939e+20","479540546171836224"
"170","7e453c16-23d7-3599-9a41-1f6ce0645d72","7.45470035847939e+20","479540546171836224"
"171","0b5489ee-b27e-316b-8bb8-db0cc40fd835","7.45470035847939e+20","479540546171836224"
"172","763df0ba-b265-39f0-b9fb-ab640b4a0d51","7.45470035847939e+20","479540546171836224"
"173","f08b3f95-ba45-3097-a69c-62b010b757ea","7.45470035847939e+20","479540546171836224"
"174","2e3199cb-b842-326b-a14b-5d319e04fe41","7.45470035847939e+20","479540546171836224"
"175","876027eb-b499-3a5d-8214-1c057730451a","7.45470035847939e+20","479540546171836224"
"176","101ddf95-1cf4-34e7-8df1-843ae0cccd9b","7.45470035847939e+20","479540546171836224"
"177","6ae09486-8c7f-3b8f-9f48-12280015da32","7.45470035847939e+20","479540546171836224"
"178","0c1542c7-5de2-3216-a9b9-7d66cc7d5a2b","7.45470035847939e+20","479540546171836224"
"179","d4780f4c-b779-3410-bdbe-55607ea052c1","7.45470035847939e+20","479540546171836224"
"180","069f0b89-9636-3002-9f15-d7851ac3662b","7.45470035847939e+20","479540546171836224"
"181","e7bc738b-c68a-37a6-8300-b70ddb1008f5","7.45470035847939e+20","479540546171836224"
"182","404990f5-b1f0-3710-b3d9-0febefe03f6a","7.45470035847939e+20","479540546171836224"
"183","0b9daed0-f5eb-3a53-a013-0f01d392742d","7.45470035847939e+20","479540546171836224"
"184","4ed8b831-91b7-35ce-9295-4a2bd7a25e6a","7.45470035847939e+20","479540546171836224"
"185","3f0a1ef2-dc53-3bd7-82a5-f59b1649dc9d","7.45470035847939e+20","479540546171836224"
"186","e210cb6f-9436-31e1-b556-36142b32f14b","7.45470035847939e+20","479540546171836224"
"187","23484173-46a8-37b3-a51f-c9f3826987e5","7.45470035847939e+20","479540546171836224"
"188","bc699c50-5ace-3551-869d-d1020e094db4","7.45470035847939e+20","479540546171836224"
"189","49e27be4-1d50-328f-930d-4fe14f9885f3","7.45470035847939e+20","479540546171836224"
"190","9b0f383d-6125-31d9-8afa-bd6a2eb0436d","7.45470035847939e+20","479540546171836224"
"191","59bdd500-02f6-33b5-89ff-6315188a2d99","7.45470035847939e+20","479540546171836224"
"192","c1be8cd5-0885-3c7c-9959-097cd2c3c9c3","7.45470035847939e+20","479540546171836224"
"193","6a858eb7-2075-3e4b-a28d-6e08d4cfff54","7.45470035847939e+20","479540546171836224"
"194","10087c36-6681-347d-b163-fed6bbc9c4a5","7.45470035847939e+20","479540546171836224"
"195","e782c75f-aa70-3f14-a2af-0173731983c0","2.42913664102506e+21","1964752287806864896"
"196","8cf4c270-893b-3ea5-85e7-8a2fa0557218","7.45470035847939e+20","479540546171836224"
"197","bfd15baa-97ff-3817-81f9-19377bd613bf","7.45470035847939e+20","479540546171836224"
"198","bbc42731-6973-3b03-846f-f67fadd3c673","7.45470035847939e+20","479540546171836224"
"199","2ff3e5ac-0184-3e1e-b885-81a6e9187462","7.45470035847939e+20","479540546171836224"
"200","c47b6fd7-b24c-3255-93fd-8327cac9173c","7.45470035847939e+20","479540546171836224"
"201","9fe5c7d2-26f0-327e-8865-e9f974f26b2c","7.45470035847939e+20","479540546171836224"
"202","f74ea4f7-74c9-3c32-9f35-fe9b5ef4d3ac","7.45470035847939e+20","479540546171836224"
"203","f3db2eef-4fc6-315a-8a1e-5efeafdaa9d7","7.45470035847939e+20","479540546171836224"
"204","e122ecfa-d2f4-3f78-a301-20621249f200","7.45470035847939e+20","479540546171836224"
"205","68ef12ed-9d86-3021-9d0a-16a810147e34","7.45470035847939e+20","479540546171836224"
"206","1213a33e-d94c-3e2b-b782-df0678079c52","7.45470035847939e+20","479540546171836224"
"207","dc32e917-c354-3894-bd5e-1039cb867805","7.45470035847939e+20","479540546171836224"
"208","7e51f865-d3c6-3c13-aef5-8eb3571184fe","7.45470035847939e+20","479540546171836224"
"209","51a02e76-652d-3afc-8bbf-32bd0fc020d7","7.45470035847939e+20","479540546171836224"
"210","60503cf2-c559-353e-a7fd-ab308e2ad2b2","7.45470035847939e+20","479540546171836224"
"211","56a222fb-fe94-3b62-a7ce-9b6b92af834f","7.45470035847939e+20","479540546171836224"
"212","38b70993-d426-31b9-b537-1f5783590b6f","2.42913664102506e+21","1964752287806864896"
"213","fbb9097b-6a19-3fbc-b3c7-58438104928e","7.45470035847939e+20","479540546171836224"
"214","38756e44-40fd-3431-a795-f7abd8bb0c96","7.45470035847939e+20","479540546171836224"
"215","d0151f5c-f730-38b4-b9a7-02c5eef606af","7.45470035847939e+20","479540546171836224"
"216","19ae41e9-b2a7-378e-976f-2543a6c07fb5","7.45470035847939e+20","479540546171836224"
"217","80b0cea2-cdb3-3037-8d0f-95d4dd888b30","7.45470035847939e+20","479540546171836224"
"218","c2aaf46a-c98c-30f4-b6c4-a0e5e927731d","7.45470035847939e+20","479540546171836224"
"219","149fd4a8-46cb-3942-b58f-eb164525fa04","7.45470035847939e+20","479540546171836224"
"220","d15291a5-cfa3-38cc-8a6d-d762eb6bbd48","7.45470035847939e+20","479540546171836224"
"221","cc614a35-9928-3aa3-b592-61aa3731a20c","7.45470035847939e+20","479540546171836224"
"222","59756008-6cd3-3364-bc80-117adb146eba","7.45470035847939e+20","479540546171836224"
"223","e7bc3adc-5460-3e21-ba25-fdc772b83569","7.45470035847939e+20","479540546171836224"
"224","372ea5ed-b7e1-3f77-ba5e-4b9b5071101c","7.45470035847939e+20","479540546171836224"
"225","14609b6c-06df-36a1-8d5d-97ec76c2ebd4","7.45470035847939e+20","479540546171836224"
"226","6dfa4b25-7e10-310e-bdc5-6f63f1926490","7.45470035847939e+20","479540546171836224"
"227","dd8e1faa-19be-324b-bc8a-19c2ca7739c8","7.45470035847939e+20","479540546171836224"
"228","62c7e40c-c417-343a-9dab-856aa541643c","7.45470035847939e+20","479540546171836224"
"229","46f57ef6-f215-35f8-ad55-c1d12d774eca","7.45470035847939e+20","479540546171836224"
"230","63260026-36b7-3a36-a56e-a17a8a517660","7.45470035847939e+20","479540546171836224"
"231","12e05b7e-929f-39bf-9991-331210366fcf","7.45470035847939e+20","479540546171836224"
"232","35c5a053-8ba4-36af-b84e-3c293c20877b","7.45470035847939e+20","479540546171836224"
"233","3c947c4e-4290-3bba-b6c6-86d4e65b5fd8","7.45470035847939e+20","479540546171836224"
"234","3b579224-c4a3-3a35-82e2-2cef675829d1","7.45470035847939e+20","479540546171836224"
"235","cdcd64a8-42d6-3687-b849-d775c83a6562","7.45470035847939e+20","479540546171836224"
"236","06824758-a76f-397c-a8de-c7bc3496de17","7.45470035847939e+20","479540546171836224"
"237","70929f29-8cc6-38c0-aa78-bb8cd1a41ba1","7.45470035847939e+20","479540546171836224"
"238","1ba81eb7-ba66-311d-9403-5abd4bf8db9d","7.45470035847939e+20","479540546171836224"
"239","0bd8ebe0-d61d-366d-88cf-dcd1395203bc","7.45470035847939e+20","479540546171836224"
"240","dde6ed52-8eb1-3323-b002-858bf5767012","7.45470035847939e+20","479540546171836224"
"241","f29b81a3-1751-3797-af1b-fbf5bb2ecfc1","7.45470035847939e+20","479540546171836224"
"242","eb0c860e-44fd-3262-bbb4-b2929b1ab26b","2.42913664102506e+21","1964752287806864896"
"243","e596ff8e-b8bb-333d-a346-2a3ca225bd1a","7.45470035847939e+20","479540546171836224"
"244","9f91a503-e57e-36ae-8b90-3daec68cfffe","7.45470035847939e+20","479540546171836224"
"245","6d984534-2d1f-31b3-b203-cf665c41519e","7.45470035847939e+20","479540546171836224"
"246","a0cab30d-3fd5-38af-9060-aa6b3f29bc9d","7.45470035847939e+20","479540546171836224"
"247","6b7660a6-9cde-3202-8840-04ff161680dc","7.45470035847939e+20","479540546171836224"
"248","d48f28b1-7bc8-39bc-9082-acd0655ca29c","7.45470035847939e+20","479540546171836224"
"249","6f397a6f-6b3c-3fe7-b6fc-dadb9689571c","7.45470035847939e+20","479540546171836224"
"250","61cbbba6-a371-3d07-8507-fdf8e7f3a6f7","7.45470035847939e+20","479540546171836224"
"251","95a7416c-7d93-3ee6-a964-4594644edfb9","7.45470035847939e+20","479540546171836224"
"252","691c7deb-6174-3714-907d-7f2812653c32","7.45470035847939e+20","479540546171836224"
"253","8d1a7bd1-0360-3a44-80c1-c5d455081311","7.45470035847939e+20","479540546171836224"
"254","d3c64745-29dd-3ee4-ad81-3332c18e57ee","7.45470035847939e+20","479540546171836224"
"255","3ac4ffda-ce62-3ecd-ac37-6ec3efe6fcaa","7.45470035847939e+20","479540546171836224"
"256","17d548b4-2f43-32d1-98bd-684f9deee417","7.45470035847939e+20","479540546171836224"
"257","2027a295-22d3-3d6c-9ffc-ab9b419209ad","7.45470035847939e+20","479540546171836224"
"258","cdc95fe7-9b0b-3271-8273-9718983e3c08","7.45470035847939e+20","479540546171836224"
"259","cae8f164-c1c2-346a-a938-cfb3b77cc618","2.42913664102506e+21","1964752287806864896"
"260","348b8838-8a32-39b6-a767-5ae869e89562","7.45470035847939e+20","479540546171836224"
"261","1d55b921-467c-3257-aadc-2ee04f30bb03","7.45470035847939e+20","479540546171836224"
"262","0a3124e3-a9f5-3561-bf51-29901b18d439","7.45470035847939e+20","479540546171836224"
"263","84130906-e76d-39bd-b5bc-5a864a4d13ef","7.45470035847939e+20","479540546171836224"
"264","57dda346-9d20-3051-89f4-b8e230a66fb1","7.45470035847939e+20","479540546171836224"
"265","ed555766-e6d6-3279-ad18-5d2052ff9692","7.45470035847939e+20","479540546171836224"
"266","ee440859-6a0c-386c-9e41-63bc9d8e0d95","7.45470035847939e+20","479540546171836224"
"267","b3569d73-163b-39e6-b5ed-edd2bd56a58e","7.45470035847939e+20","479540546171836224"
"268","1c04e4ff-8323-3cbf-b896-802544bc3210","7.45470035847939e+20","479540546171836224"
"269","651a89f2-7437-3562-aa37-67554dcb0547","7.45470035847939e+20","479540546171836224"
"270","100b0a5b-6084-3934-af79-779f7ab2b75a","7.45470035847939e+20","479540546171836224"
"271","72cae224-dc1c-3ca2-a9bc-9b383af3736c","7.45470035847939e+20","479540546171836224"
"272","01a9e458-e38c-36c8-bdff-067ce0f322c0","7.45470035847939e+20","479540546171836224"
"273","504a41fc-39e6-3458-9d1a-a4a62979933f","7.45470035847939e+20","479540546171836224"
"274","121b8fa0-32de-3a2c-9d7b-8a1d3deb3f07","7.45470035847939e+20","479540546171836224"
"275","1b1fc7d0-91eb-3b90-b220-e8e17580e9df","7.45470035847939e+20","479540546171836224"
"276","b0d17b33-c08b-3446-8b9e-6f6eed1b486e","7.45470035847939e+20","479540546171836224"
"277","e304ce40-37a5-390f-8fdd-f317c7060b23","7.45470035847939e+20","479540546171836224"
"278","9e5d8ee3-098b-3c03-ad87-f31af8721119","7.45470035847939e+20","479540546171836224"
"279","aa1035bf-a681-35aa-9fe8-d24e0f1a0176","7.45470035847939e+20","479540546171836224"
"280","1c102643-c9e5-3acc-83e4-e8a56e8fe24f","7.45470035847939e+20","479540546171836224"
"281","8dde0d6d-3987-36ee-b101-b7d821b517f1","7.45470035847939e+20","479540546171836224"
